YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,PRECTOTCORR
2001,3,29,29.18,24.93,26.84,0.6
2001,3,30,30.32,25.87,27.59,0.01
2001,3,31,30.08,25.71,27.37,0.02
2001,4,1,30.25,25.51,27.41,0.42
2001,4,2,30.91,25.45,27.84,0.31
2001,4,3,31.59,25.5,28.17,0.01
2001,4,4,31.97,24.63,28.06,0
2001,4,5,31.67,24.81,28.15,0
2001,4,6,32.18,26.59,28.94,0
2001,4,7,31.5,26.53,28.6,0.32
2001,4,8,31.01,26.18,28.21,4.08
2001,4,9,30.39,25.78,27.28,8.58
2001,4,10,29.51,26.19,27.53,3.21
2001,4,11,29.67,25.4,27.37,2.72
2001,4,12,28.65,25.85,27.12,3.71
2001,4,13,28.82,25.88,27.11,2.84
2001,4,14,30.78,25.83,27.76,5.47
2001,4,15,30.01,25.2,27,5.28
2001,4,16,31.09,25.54,27.84,1.86
2001,4,17,30.82,26.3,27.97,1.33
2001,4,18,29.76,25.79,27.37,1.35
2001,4,19,30.25,26.56,27.96,3.12
2001,4,20,30.73,26.56,28.25,1.51
2001,4,21,30.08,26.98,28.03,2.1
2001,4,22,30.94,26.23,28.1,0
2001,4,23,31.44,25.55,28.18,0.79
2001,4,24,30.98,25.7,28.09,0.52
2001,4,25,31.65,25.95,28.61,0.14
2001,4,26,32.4,26.61,29.08,0.09
2001,4,27,32.48,26.77,29.35,0.04
2001,4,28,32.24,27.51,29.4,1.35
2001,4,29,31.81,26.89,28.9,5.85
2001,4,30,30.6,26.5,28.11,1.64
2001,5,1,29.73,26.47,27.88,1.46
2001,5,2,29,25.89,27.4,0.52
2001,5,3,31.05,25.14,27.88,0.37
2001,5,4,31.04,25.71,28.04,0.07
2001,5,5,31.25,25.98,28.36,0.21
2001,5,6,31.17,26.21,28.22,2.87
2001,5,7,30.92,25.9,28.13,0.64
2001,5,8,31.06,25.94,28.16,2.94
2001,5,9,27.65,24.13,26.09,2.82
2001,5,10,29.5,25.43,26.97,1.85
2001,5,11,30.41,25.5,27.59,3.06
2001,5,12,29.95,25.39,27.4,4.53
2001,5,13,29.02,25.55,27.27,4.99
2001,5,14,29.69,25.77,27.25,5.05
2001,5,15,27.64,25.68,26.45,16.57
2001,5,16,29.17,25.48,26.75,7.81
2001,5,17,28.31,25.27,26.28,18.99
2001,5,18,28.01,24.89,25.99,26.7
2001,5,19,29.39,25.34,26.76,10.68
2001,5,20,27.34,25.7,26.22,4.85
2001,5,21,27.33,25.23,26.2,3.35
2001,5,22,27.62,23.58,25.34,3.98
2001,5,23,27.44,23.62,25.3,10.58
2001,5,24,27.76,24.33,25.62,5.38
2001,5,25,27.14,24.6,25.36,1.44
2001,5,26,27.05,24.6,25.5,0.83
2001,5,27,26.05,24.33,25.04,2.08
2001,5,28,28.25,24.18,25.69,1.38
2001,5,29,28.65,24.44,26.15,4.64
2001,5,30,27.67,24.67,25.62,31.81
2001,5,31,26.23,24.28,25.01,7.48
2001,6,1,25.64,24,24.65,5.22
2001,6,2,26.66,23.91,25.15,2.4
2001,6,3,25.76,24.33,24.92,6.56
2001,6,4,25.7,24.3,24.94,12.74
2001,6,5,26.83,24.35,25.38,4.79
2001,6,6,27.39,24.33,25.59,14.09
2001,6,7,27.51,24.61,25.91,10.03
2001,6,8,27.2,24.62,25.71,9.66
2001,6,9,27.79,24.28,25.72,16.02
2001,6,10,28.05,24.46,26.02,3.04
2001,6,11,26.74,24.86,25.67,6.38
2001,6,12,28.36,25.02,26.47,5.93
2001,6,13,28.65,24.24,26.39,1.21
2001,6,14,28.95,24.31,26.44,2.25
2001,6,15,28.62,24.21,26.34,4.52
2001,6,16,28.29,23.99,25.88,5.68
2001,6,17,28.17,25.22,26.38,1.69
2001,6,18,29.14,24.56,26.71,0.48
2001,6,19,28.88,25.35,26.9,2.2
2001,6,20,27.94,24.8,26.25,3.58
2001,6,21,28.08,24.52,26.19,3.43
2001,6,22,28,25.03,26.13,2.61
2001,6,23,27.86,24.97,26.05,5.67
2001,6,24,28.34,24.84,26.13,6.56
2001,6,25,28.5,25.16,26.54,4.99
2001,6,26,29.36,25.29,27.01,5.03
2001,6,27,28.93,25.37,27.05,4.83
2001,6,28,28.07,25.53,26.58,10.3
2001,6,29,28.11,25.05,26.39,7.4
2001,6,30,27.47,24.89,25.9,6.42
2001,7,1,27.16,24.53,25.69,7.71
2001,7,2,27.99,24.1,25.97,3.75
2001,7,3,29.79,24.3,26.85,0.98
2001,7,4,29.84,25.21,27.27,2.24
2001,7,5,30.24,25.48,27.29,3.95
2001,7,6,27.44,24.89,25.96,6.27
2001,7,7,28.5,24.5,26.15,2.42
2001,7,8,28.43,24.21,26.1,4.16
2001,7,9,26.12,24.17,25.01,11.97
2001,7,10,26.79,23.53,25.11,13.59
2001,7,11,25.58,23.88,24.83,12.57
2001,7,12,28.26,24.49,25.96,0.43
2001,7,13,28.79,24.17,26.19,3.36
2001,7,14,28.57,24.54,26.31,6.5
2001,7,15,27.13,23.83,25.26,4.19
2001,7,16,27.53,24.48,25.7,1.3
2001,7,17,28.38,24.4,26.12,5.39
